Field,Description,Field_Name,Table_Name,Data_Types,Remarks
INT_PYMNT_DOMTH,Int Pymt Day of Month,NIPDAY,LNMASTYS,"NUMBER(2,0)",
INT_TRX_TDY,Interest Trnx/Paid Today,INTODY,LNMASTYS,"NUMBER(8,0)",
LAST_COMMIT_FEE_CPTL_DT,Last Commit Fee Capitalised Date,LCMCP8,LNMASTYS,"NUMBER(8,0)",
LAST_EXCESS_DT,Last excess date,LEXCD8,LNMASTYS,"NUMBER(8,0)",
LAST_INT_CPTL_DT,Last Interest Capitalised Date,LINCP8,LNMASTYS,"NUMBER(8,0)",
LAST_LT_CHRG_CPTL_DT,Last Late Charge Capitalised Date,LLCCP8,LNMASTYS,"NUMBER(8,0)",
LAST_PYMNT_DT,Last Pymt Date,LPDT8,LNMASTYS,"NUMBER(8,0)",
LAST_REBATE_DT,Last Rebate Date,LREBD8,LNMASTYS,"NUMBER(8,0)",
LAST_RELEASE_DT,Last release Date,LERELD8,LNMASTYS,"NUMBER(8,0)",
LAST_ROLL_EFF_DT,Last Rollover Eff Date,ROLSE8,LNMASTYS,"NUMBER(8,0)",
LOAN_GROUP,Loan Group,LONGRP,LNMASTYS,"NUMBER(3,0)",
LOAN_INT_RATE,Loan Interest Rate,RATE,LNMASTYS,"NUMBER(22,9)",
LOAN_LIMIT_SCHDL,Loan Limit Schd,LLSCHD,LNMASTYS,VARCHAR2(1 BYTE),
LOAN_TERM,Loan Term ,TERM,LNMASTYS,"NUMBER(5,0)",
LOAN_TERM_CD,Loan Term Code,TMCODE,LNMASTYS,VARCHAR2(1 BYTE),
LOAN_TYP,Loan Type,TYPE,LNMASTYS,VARCHAR2(10 BYTE),
MATURITY_DT,Maturity Date,MATDT8,LNMASTYS,"NUMBER(8,0)",
METHOD_RANGE,Method of Range,VARMTD,LNMASTYS,VARCHAR2(1 BYTE),
MULTI_TIER_RATE,Multi Tier Rate ,MULTIR,LNMASTYS,VARCHAR2(1 BYTE),
NPL_FLG,NPL Flag,NPLFLG,LNMASTYS,VARCHAR2(1 BYTE),
NPL_STATUS,NPL Status,NPLSTA,LNMASTYS,VARCHAR2(1 BYTE),
NXT_INT_PYMNT_DUEDT,NXT Int. Pymt Due Date,NIPDT8,LNMASTYS,"NUMBER(8,0)",
NXT_PYMNT_DUE_DT,NXT Pymt Due Date,NPDT8,LNMASTYS,"NUMBER(8,0)",
NXT_REBATE_DT,NXT Rebate Date,NREBD8,LNMASTYS,"NUMBER(8,0)",
NXT_ROLL_EFF_DT,NXT Rollover Eff date,ROLEF8,LNMASTYS,"NUMBER(8,0)",
NXT_SCHDL_INTPYMNT_DUEDT,Nxt Sch Int pymt due dt,NSIPD8,LNMASTYS,"NUMBER(8,0)",
NXT_SCHDL_PYMNT_DT,NXT Sched Pymt Date,NSPDT8,LNMASTYS,"NUMBER(8,0)",
ON_PAST_DUE_RPT,On Past Due Report,PDCODE,LNMASTYS,VARCHAR2(1 BYTE),
ONE_MO_INT_AMORT,One Mo Int On Amort Loan,AMRINT,LNMASTYS,"NUMBER(21,2)",
ORI_BAL,Original Balance,ORGAMT,LNMASTYS,"NUMBER(21,2)",
ORI_LOAN_RATE,Original Loan Date,ORGDT8,LNMASTYS,"NUMBER(8,0)",
ORI_MATURITY_DT,Original Maturity Date,ORGMD8,LNMASTYS,"NUMBER(8,0)",
OVERLAP_FIN_FLAG,Overlap Flag,RLTYPE,LNDEPR,VARCHAR2(2 BYTE),
OWN_BR,Owned by Branch ,OWNBRN,LNMASTYS,"NUMBER(5,0)",
OWN_COM,Owned by Company ,OWNBKN,LNMASTYS,"NUMBER(2,0)",
PAST_DUE_HSTRY_FLG,Past Due History Flag,PHFLAG,LNMASTYS,VARCHAR2(1 BYTE),
PAST_DUE_NOTICE_CD,Past Due Notice Code,PNFLAG,LNMASTYS,"NUMBER(1,0)",
PAYMENT_TYPE,Payment Type,PMTCOD,LNRPTO,"NUMBER(1,0)",
PAYOFF_DT,Payoff Date,POFFD8,LNMASTYS,"NUMBER(8,0)",
PREV_OWN_BR,Prev. Owned by Branch,PROWBR,LNMASTYS,"NUMBER(5,0)",
PREV_OWN_CMPNY,Prev. Owned by Company,PROWBK,LNMASTYS,"NUMBER(2,0)",
PRIN_INVRSE_ORD,Prin Inverse Order,INVRO,LNMASTYS,VARCHAR2(1 BYTE),
PRIN_REPYMNT_SCHDL,Prin Repaym Schd,PRSCH,LNMASTYS,VARCHAR2(1 BYTE),
PROD_CD,Product Code,TYPE_,LNRPTO,VARCHAR2(10 BYTE),
PROMPT_DURATION,Prompt Duration to Switch from,PRMTDC,LNMASTYS,VARCHAR2(1 BYTE),
PURPOSE_CD,"Loan Purpose Code Refer P_LLPARX for description",LLCBLP,LLBNMC,VARCHAR2(8 BYTE),
PYMNT_AMT,Payment Amount,PMTAMT,LNMASTYS,"NUMBER(21,2)",
PYMNT_CD,Payment Code,PMTCOD,LNMASTYS,"NUMBER(1,0)",
PYMNT_DOMTH,Pymt Day of Month,NPDAY,LNMASTYS,"NUMBER(2,0)",
PYMNT_FREQ,Payment Frequency,FREQ,LNMASTYS,"NUMBER(3,0)",
PYMNT_FREQ_CD,Payment Freq Code,FRCODE,LNMASTYS,VARCHAR2(1 BYTE),
PYMNT_GOOD_THRU_DT,Pymt Good Thru Date,THRUD8,LNMASTYS,"NUMBER(8,0)",
R_BRANCH_CD,Reporting Branch,RBRN,LNMASTYS,"NUMBER(5,0)",
RATE_TIED_AVG,Rate Tied To Avg Of Bks,AVGBKC,LNMASTYS,VARCHAR2(1 BYTE),
RECGNZ_OVPYMNT,Recognize Overpayment,OVPINC,LNMASTYS,VARCHAR2(1 BYTE),
REINSTATE_NORM_RATE,Reinstate Normal Rate,REINRT,LNMASTYS,VARCHAR2(1 BYTE),
REPYMNT_PERIOD,Repayment Period,TERM,LNRPTO,"NUMBER(5,0)",
REPYMNT_TYP,Repayment Type,CPMMOD,LNMASC,VARCHAR2(1 BYTE),
RESCHDL_FLG,Reschedule Flag ,RESFLG,LNMASTYS,VARCHAR2(1 BYTE),
RESTRCTR_FLG,Restructure Flag ,VARFLG,LNMASTYS,VARCHAR2(1 BYTE),
REVOLVING,Revolving ,REVOLV,LNMASTYS,VARCHAR2(1 BYTE),
RJCT_OD_UTILI,Reject OD Utilization,INSRJU,LNMASTYS,VARCHAR2(1 BYTE),
ROLL_METHOD,Rollover method,ROLM,LNMASTYS,VARCHAR2(1 BYTE),
SBU_CD,SBU Code ,SBUCOD,LNMASTYS,VARCHAR2(4 BYTE),
SEG_CD,Segment Code ,CFSEGC,LNMASTYS,VARCHAR2(4 BYTE),
SET_FPDT,Set FPDT Upon 1st rel,FFPDT,LNMASTYS,VARCHAR2(1 BYTE),
STATUS,Status,STATUS,LNRPTO,"NUMBER(1,0)",
STATUS_DT,Status Date,STSDT8,LNMASTYS,"NUMBER(8,0)",
STOP_ACC_COMM_FEE,Stop Accrue Commitment Fee,STPACF,LNMASTYS,VARCHAR2(1 BYTE),
STOP_ACC_INT,Stop Accrue Interest,STPAIN,LNMASTYS,VARCHAR2(1 BYTE),
STOP_INT_SUSPND,Stop Interest Suspend,STISUP,LNMASTYS,VARCHAR2(1 BYTE),
SUB_3RD_PARTY,Subsidized by 3rd party,SUBSID,LNMASTYS,VARCHAR2(1 BYTE),
SUB_CD,Sub Code ,SUBCOD,LNMASTYS,VARCHAR2(4 BYTE),
SUB_SEG_CD,Sub Segment Code,CFSSEG,LNMASTYS,VARCHAR2(4 BYTE),
TIER_LOAN,Tiered loan,TIERED,LNMASTYS,VARCHAR2(1 BYTE),
TRANCHE_MATURITY_DT_CHECK,Tranche Maturity Date Checking,EMAMDT,LNMASTYS,VARCHAR2(1 BYTE),
TRANCHE_WORK_SCHDL,Tranche Working Schd,TWSCH,LNMASTYS,VARCHAR2(1 BYTE),
USE_DEF_RATE,Use Default Rate ,USEDFR,LNMASTYS,VARCHAR2(1 BYTE),
USE_RLTSHIP_PRICING,Use Relationship Pricing,USERP,LNMASTYS,VARCHAR2(1 BYTE),
WAICE_HOLD_MAIL,Waive Hold Mail,WVHML,LNMASTYS,VARCHAR2(1 BYTE),
WOFF_HOLD_MAIL_CD,W/Off Hold Mail Code,WFMAIL,LNMASTYS,VARCHAR2(1 BYTE),
YEAR_BASE,Year Base,YBASE,LNMASTYS,"NUMBER(1,0)",
